"","vod_link","patch_date","bracket","week","date","map","t1_round","t1_team","t1_result","vs","t2_result","t2_team","t2_round","first_ban_team","first_ban_hero","second_ban_team","second_ban_hero","t1_tank","t1_dps1","t1_dps2","t1_sup1","t1_sup2","t2_tank","t2_dps1","t2_dps2","t2_sup1","t2_sup2","region"
"1","https://youtu.be/3q8TRmC7HpA?t=3662","Jan 21st","Regular Season","1","24/01/2025","Lijiang Tower","Control Center","Team Falcons","1","vs.","0","New Era","Control Center","Team Falcons","Ana","New Era","Echo","Hazard","Genji","Sojourn","Juno","Lucio","Hazard","Genji","Sojourn","Juno","Lucio","korea"
"2","https://youtu.be/3q8TRmC7HpA?t=3662","Jan 21st","Regular Season","1","24/01/2025","Lijiang Tower","Garden","Team Falcons","2(W)","vs.","0","New Era","Garden","Team Falcons","Ana","New Era","Echo","Hazard","Genji","Tracer","Juno","Lucio","Hazard","Genji","Sojourn","Juno","Lucio","korea"
"3","https://youtu.be/3q8TRmC7HpA?t=4844","Jan 21st","Regular Season","1","24/01/2025","New Junk City","A","Team Falcons","1","vs.","0","New Era","A","New Era","Tracer","Team Falcons","Hazard","Mauga","Genji","Sojourn","Juno","Lucio","Orisa","Genji","Sojourn","Juno","Lucio","korea"
"4","https://youtu.be/3q8TRmC7HpA?t=4844","Jan 21st","Regular Season","1","24/01/2025","New Junk City","B","Team Falcons","2","vs.","0","New Era","B","New Era","Tracer","Team Falcons","Hazard","Mauga","Genji","Sojourn","Juno","Lucio","Orisa","Genji","Sojourn","Juno","Lucio","korea"
"5","https://youtu.be/3q8TRmC7HpA?t=4844","Jan 21st","Regular Season","1","24/01/2025","New Junk City","E","Team Falcons","3(W)","vs.","0","New Era","E","New Era","Tracer","Team Falcons","Hazard","Mauga","Genji","Sojourn","Juno","Lucio","Mauga","Echo","Reaper","Juno","Lucio","korea"
"6","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","A1","Team Falcons","1","vs.","","New Era","D1","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Juno","Lucio","Sigma","Genji","Ashe","Ana","Kiriko","korea"
"7","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","A2","Team Falcons","2","vs.","","New Era","D2","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Juno","Lucio","Sigma","Genji","Ashe","Ana","Kiriko","korea"
"8","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","A3","Team Falcons","3","vs.","","New Era","D3","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Juno","Lucio","Hazard","Genji","Widow","Ana","Kiriko","korea"
"9","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D1","Team Falcons","3","vs.","1","New Era","A1","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Ashe","Juno","Lucio","Hazard","Genji","Sojourn","Ana","Juno","korea"
"10","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D2","Team Falcons","3","vs.","2","New Era","A2","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Ashe","Juno","Lucio","Hazard","Genji","Sojourn","Ana","Juno","korea"
"11","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D3","Team Falcons","3","vs.","3","New Era","A3","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Sojourn","Ana","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"12","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D1","Team Falcons","3","vs.","4","New Era","A1","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Tracer","Juno","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"13","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D2","Team Falcons","3","vs.","5","New Era","A2","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Tracer","Kiriko","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"14","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","D3","Team Falcons","3","vs.","5","New Era","A3","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Kiriko","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"15","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","A1","Team Falcons","4","vs.","5","New Era","D1","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Juno","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"16","https://youtu.be/3q8TRmC7HpA?t=5814","Jan 21st","Regular Season","1","24/01/2025","King's Row","A2","Team Falcons","4","vs.","5(W)","New Era","D2","New Era","DVa","Team Falcons","Zen","Hazard","Genji","Widow","Juno","Lucio","Hazard","Genji","Sojourn","Ana","Kiriko","korea"
"17","https://youtu.be/3q8TRmC7HpA?t=7798","Jan 21st","Regular Season","1","24/01/2025","Esperanca","Push","Team Falcons","W","vs.","","New Era","Push","Team Falcons","Kiriko","New Era","Soldier 76","Hazard","Genji","Sojourn","Juno","Lucio","Hazard","Genji","Sojourn","Juno","Lucio","korea"
"18","https://youtu.be/W0H-E_Dgw3Y?t=1067","Jan 21st","Regular Season","1","24/01/2025","Samoa","Volcano","Crazy Raccoon","1","vs.","0","ZETA Division","Volcano","ZETA Division","Juno","Crazy Raccoon","Tracer","Hazard","Genji","Sojourn","Kiriko","Lucio","Hazard","Genji","Sojourn","Kiriko","Lucio","korea"
"19","https://youtu.be/W0H-E_Dgw3Y?t=1067","Jan 21st","Regular Season","1","24/01/2025","Samoa","Downtown (Samoa)","Crazy Raccoon","1","vs.","1","ZETA Division","Downtown (Samoa)","ZETA Division","Juno","Crazy Raccoon","Tracer","Hazard","Genji","Sojourn","Kiriko","Lucio","Hazard","Genji","Sojourn","Kiriko","Lucio","korea"
"20","https://youtu.be/W0H-E_Dgw3Y?t=1067","Jan 21st","Regular Season","1","24/01/2025","Samoa","Beach","Crazy Raccoon","2(W)","vs.","1","ZETA Division","Beach","ZETA Division","Juno","Crazy Raccoon","Tracer","Hazard","Genji","Ashe","Kiriko","Lucio","Hazard","Genji","Sojourn","Kiriko","Lucio","korea"
"21","https://youtu.be/W0H-E_Dgw3Y?t=3503","Jan 21st","Regular Season","1","24/01/2025","King's Row","D1","Crazy Raccoon","","vs.","1","ZETA Division","A1","ZETA Division","Zarya","Crazy Raccoon","Pharah","Hazard","Echo","Widow","Juno","Lucio","DVa","Echo","Tracer","Juno","Lucio","korea"
"22","https://youtu.be/W0H-E_Dgw3Y?t=3503","Jan 21st","Regular Season","1","24/01/2025","King's Row","D2","Crazy Raccoon","","vs.","2","ZETA Division","A2","ZETA Division","Zarya","Crazy Raccoon","Pharah","Hazard","Echo","Tracer","Juno","Lucio","DVa","Echo","Tracer","Juno","Lucio","korea"
"23","https://youtu.be/W0H-E_Dgw3Y?t=3503","Jan 21st","Regular Season","1","24/01/2025","King's Row","D3","Crazy Raccoon","","vs.","2","ZETA Division","A3","ZETA Division","Zarya","Crazy Raccoon","Pharah","Hazard","Echo","Tracer","Juno","Lucio","Hazard","Echo","Tracer","Juno","Lucio","korea"
"24","https://youtu.be/W0H-E_Dgw3Y?t=3503","Jan 21st","Regular Season","1","24/01/2025","King's Row","A1","Crazy Raccoon","1","vs.","2","ZETA Division","D1","ZETA Division","Zarya","Crazy Raccoon","Pharah","DVa","Genji","Tracer","Kiriko","Lucio","DVa","Mei","Ashe","Ana","Juno","korea"
"25","https://youtu.be/W0H-E_Dgw3Y?t=3503","Jan 21st","Regular Season","1","24/01/2025","King's Row","A2","Crazy Raccoon","1","vs.","2(W)","ZETA Division","D2","ZETA Division","Zarya","Crazy Raccoon","Pharah","DVa","Genji","Tracer","Kiriko","Lucio","DVa","Mei","Ashe","Ana","Juno","korea"
"26","https://youtu.be/W0H-E_Dgw3Y?t=5489","Jan 21st","Regular Season","1","24/01/2025","Gibraltar","A1","Crazy Raccoon","1","vs.","","ZETA Division","D1","Crazy Raccoon","DVa","ZETA Division","Ana","Hazard","Genji","Widow","Juno","Lucio","Hazard","Tracer","Ashe","Juno","Brig","korea"
"27","https://youtu.be/W0H-E_Dgw3Y?t=5489","Jan 21st","Regular Season","1","24/01/2025","Gibraltar","A2","Crazy Raccoon","2","vs.","","ZETA Division","D2","Crazy Raccoon","DVa","ZETA Division","Ana","Hazard","Tracer","Ashe","Juno","Lucio","Hazard","Tracer","Ashe","Juno","Brig","korea"
"28","https://youtu.be/W0H-E_Dgw3Y?t=5489","Jan 21st","Regular Season","1","24/01/2025","Gibraltar","A3","Crazy Raccoon","3","vs.","","ZETA Division","D3","Crazy Raccoon","DVa","ZETA Division","Ana","Winston","Tracer","Ashe","Juno","Lucio","Hazard","Genji","Ashe","Juno","Brig","korea"
